,document,label,star
11288,엔딩을 보여 뭐야 이게 끝이야 라는 반응이 나왔지만 긴장감 하나만큼은 최고 보는 내내 심장이 빨리 뛰고 소위말해 쫄린다는 느낌이 무척 강했음 그리고 살면서 큰 문제에 맞닥뜨렸을 때 계속 피하기만 하면 어느 곳에서도 빠져 나갈 수 없다는 나름의 교훈도 있었던 것 같아서 전체적으로 추천합니다 ,1,8
1019,진짜 영화 보는 내내 재미있었다 ,1,10
7471,휴 캐붕에 오유랑 설정이 어긋나는 부분들이 있어서 차라리 오유랑 선 긋고 맘이 편합니다 라울 지지파로서 이런 세계선 인정할 수 없습니다 그치만 곡이랑 연출은 진짜 곡이랑 연출이 별로이면 차라리 깨끗이 지우겠는데 왜 또 그건 쓸데없이 좋아가지곤곡과 무대 연출때문에 점 주고 갑니다 스토리는 그냥 평행세계인 걸로 생각할래요 ,1,8
14784,솔직히 긴장도 전혀 안 됐다 긴장도 스토리에서 오는 건데 ,0,2
2690,트롤졸귀다재밋어용도좋음 ,1,10
12367,처음부터 끝까지 불쾌한 걸 의도한 감독의 퍼니 게임인듯 ,1,10
3234,평점 안주려다 점대 영화는 아닌것 같아서 점 줌 스토리 개연성 빈약한건 사실이나 긴장감 있는 연출은 잘 뽑아낸 수작이라 생각함 ,1,10
10649,다 감내하고자 마음먹고 여유로운 미소를 띈 한효주의 표정이 너무 부럽다 나도 그런 여유를 가지고 살고 싶다 ,1,10
3894,년이 지나도 년이 지나서 다시봐도 또 울것같은 명작중학생때 친구가 영화관에서 이 영화 안보고 노래방간거 후회할꺼라 했는데진짜였어 ㅠㅠ 진짜 영화관에서 보고싶다ㅠㅠ ,1,10
12263,눈물 없이 볼수 없습니다 ,1,10
7639,사냥감이 된 인간의 심리를 잘 표현함 연기와 미장센이 뛰어나다 ,1,10
1558,여주인공 너무 매력있어요 내용흐름이 유치하긴 해도 가볍게 보고 오기 좋아요 ,1,8
13342,여자주인공 두명만 바뀌었으면 좋았을 영화특히 마지막 여자둘은 참 ,1,8
3832,몰입감 좋았고 잘 봤어요 뭐 아쉬운 부분도 많았지만 평점이 점대일 정돈 아닌거같은대 ,1,9
15654,중간에 박수치고싶다고 생각했는데 이미 앞에서 몇명 박수치고있었음   에 피로를 느끼던 중 가뭄에 단비같은 영화 ,1,10
10370,이정도면 이시영 연기 플러스 점수 줘서 수작정도 되는 국산 액션영화라고 봐도 무방한대 왜케 쳐 까고들있냐 ,1,7
12715,너무 슬퍼서 펑펑 울면서 봤어요ㅠㅠ ,1,10
14259,이렇게 재밌는 영화 진짜 몇년만에 처음봄 미친 레전드급 ,1,10
1978,스토리가 단순하긴해도 액션이 다한다 햄식 특유의 신음소리 내면서 싸우는액션신 말이 필요없음 ,1,10
6756,나름 괜찮게봤어여 베네딕트는 마지막에 허무할정도로 까메오수준으로 잠깐나왔다가 사라져서 아쉽지만 전체적으로 전쟁영화치곤 괜찮았습니다 초반엔 지루한가 싶었지만 나중엔 이입해서봤구여 또 그렇게 자극적이지도 않구요  ,1,8
3175,슬럼프에 빠진 누군가에게 위로와 함께 추천해주고 싶은 그런 애니 ,1,10
13621,욕망에 대해서 다시  한번  생각하게 한 영홰다야한 장면이 많다고들  불만인 사람이  있는데나름  의미가 있는데 ,1,8
14351,아 그 오래토록 기다린 결과 이런 허접한 스토리던가 ,0,2
10022,보고는 싶은데 상영관이 없네요ㅠ ,1,10
3689,무난한 한국형 전쟁영화 평론가들 평론은 믿지말자 ,1,8
16449,명작의 시작 훌륭한 에피타이져ㅎㅎ ,1,9
2479,하정우의 찌질하고 자연스러운 연기를 볼 수 있었다 주옥같은 대사가 많았고 그걸 참 잘 살렸다 방울방울해 우리집 티비도 디지털이야 등등 그리고 희진이 주월한테 마음이 생기기 시작한 장면을 참 재밌게 잘 그렸다 싸움이 생길 뻔한 순간임에도 불구하고 위트와 진심을 잘 섞어 웃음으로 모두의 마음을 풀어준 주월에 대해 호감이 생기는 장면이 인상 깊었다 털털하고 보편적인 세련되진 않지만 가식없는 로코 ,1,10
1367,배경은한국에서 연출된 미국 할렘가에서 더더 망해버린 도시 느낌배우들의 연기는 외국 영화에 중국 사람이 나와서 한국 사람인 척 하는 느낌우뤼 한쿡 사람 맞아혀그냥 전체적으로 미쿡에서 김 빠진 콜라를 먹었는데 목이 따가운 느낌 년대 미쿡 킬러 영화를한국판으로 옮겨놓은 느낌 터미네이터  같은 느낌영화의 정체성이 궁금함아 그냥 말도 안됨 ,0,1
2865,원래 영화보기 전에 평을 보고 이게 알바가 작성한건지 실제 후기인지 어느정도 판단하고 영화를 보는데 사냥의 시간 평보고 무슨 반응들이 이따구냐 싶어서 봤거든 여기는 평점 올리는 알바가 아니라 오히려 반대로 평점테러하는 알바들 같은데 작작해라 더럽다 소송 관련되서 그런가 ,1,9
